Model/Region,Global,HNLC ocean basin,,,,
,,NA,NP,CEP,SP,SAI
MMM_PI,0.65,0.42,0.27,0.93,1.67,1.12
MMM_LGM,0.38,0.21,0.13,0.62,1.10,0.59
Albani PI,0.73,0.34,0.23,0.60,1.86,1.13
Albani LGM,0.27,0.18,0.09,0.63,0.53,0.28
Lambert PI,0.36,0.30,0.15,0.66,0.51,0.68
Lambert LGM,0.15,0.12,0.06,0.35,0.20,0.44
Ohgaito PI,0.99,0.49,0.29,1.18,3.68,2.04
Ohgaito LGM,0.35,0.19,0.11,0.73,0.83,0.37
Takemura PI,0.70,0.51,0.41,0.96,1.50,1.32
Takemura LGM,0.65,0.31,0.31,0.62,1.47,1.63
MIROC-ESM PI,0.77,0.44,0.30,1.04,2.39,1.40
MIROC-ESM LGM,0.76,0.22,0.14,0.60,2.67,2.06
MRI-CGCM3 PI,0.58,0.38,0.23,1.06,1.44,0.85
MRI-CGCM3 LGM,0.49,0.29,0.16,0.89,1.44,0.70
